产地,产品类型,阶段,检验日期,生产日期,产品编号,规格型号,材质分类,产品分类,产品批号,原材料,原材料批号,模具编号,总数量,合格数,一次硫化合格率,"不合格
数量",一次硫化缺胶,"一次硫化开
裂",一次硫化杂质,型腔坏,一硫尺寸不合格,"一次硫化合模线
撕裂","一次硫
化粘模",一次硫化污染,"一次硫化
凹陷",一次硫化合模线粗,一次硫化流痕,一次硫化气泡,一次硫熔接不良,"一次硫化
其他",操作员,二次硫化检查总数pcs,"总不
合格数pcs","总合
格率%",最终良品数pcs,污染,"杂质
","表面
凹陷","合模线
凹陷",合模线撕裂,"粘胶
",粘皮,缺胶,断裂,毛刺,开裂 ,气泡,压痕,尺寸不合格,粘模,划伤,表面发亮异点,修边不良,油污,焦烧,堵孔,水印印迹,变形,合模线开裂,合模线分开,拉丝,裁断不良,"胶
不
熟",加工痕迹,生锈,流痕,熔接不良,色差,打磨过度,混料,激光不良,其他,检验员,工时数H,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/26,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711-9,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1364,114,91.64%,1250,0,0,68,0,0,0,0,9,0,21,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,5.33,,,,,,,,,,,,,,,,
外购,/,/,2024/5/3,/,0304040082,阀-铜件 φ31.62X20.65,/,金属件,/,/,/,/,4500,,0.00%,0,,,,,,,,,,,,,,,,1401,1,99.93%,1400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,2.67,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/3,2024/4/28,0103020084,铜 + 低温FKM黑色75邵A BODY-VALVE,FKM黑色,橡胶金属结合件,2024012132,KC7501118AVPL,2M02311210150,0601040032,995,991,99.60%,4,,,,,,,,,,,,,,4,姚书川,100,0,100.00%,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,2.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/27,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711-9,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1897,147,92.25%,1750,0,4,62,0,0,0,0,21,0,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,7.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/22,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,266,16,93.98%,250,0,0,8,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹文文,1,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2023/12/25,0101020245,FKM黑色75邵A φ28.98*7.92 D-0750-469,FKM黑色,定制异形件,2023120058,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,2246,936,58.33%,1310,0,42,84,0,0,0,256,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,8,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/3,2024/4/30,0101020012,ACM红棕色70邵A 19.75*φ2.75,ACM红棕色,定制异形件,2024042964,,,,6700,,0.00%,0,,,,,,,,,,,,,,,,1088,88,91.91%,1000,0,25,30,0,0,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,,,0,陈燕,3,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/3,2024/4/17,0101020268,EPDM紫色40邵A 环形密封圈 59.2*34.2*8.8,EPDM紫色,定制异形件,2024042812-2,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1390,190,86.33%,1200,0,70,0,65,0,0,4,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,8,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/4/17,0101020268,EPDM紫色40邵A 环形密封圈 59.2*34.2*8.8,EPDM紫色,定制异形件,2024042812-2,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,323,15,95.36%,308,0,11,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,0.5,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/4,2024/4/30,1202031017,FKM黑色70邵A 8*1,FKM黑色,公制O型圈,2024042974,HPE5021WR,2M02401300061,0601010665,544,536,98.53%,8,8,0,0,,,0,0,,0,,,0,,0,于鑫鑫,536,6,98.88%,530,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,周志杰,0.5,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010167,FKM黑色75邵A 94.84*3.53,FKM黑色,美标O型圈,/,/,/,/,180,,0.00%,0,,,,,,,,,,,,,,,,180,0,100.00%,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010165,FKM黑色75邵A 88.49*3.53,FKM黑色,美标O型圈,/,/,/,/,10,,0.00%,0,,,,,,,,,,,,,,,,10,0,100.00%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010155,FKM黑色75邵A 56.74*3.53,FKM黑色,美标O型圈,/,/,/,/,10,,0.00%,0,,,,,,,,,,,,,,,,10,0,100.00%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010011,FKM黑色75邵A 7.65*1.78,FKM黑色,美标O型圈,/,/,/,/,10,,0.00%,0,,,,,,,,,,,,,,,,10,0,100.00%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010137,FKM黑色75邵A 18.64*3.53,FKM黑色,美标O型圈,/,/,/,/,20,,0.00%,0,,,,,,,,,,,,,,,,20,0,100.00%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
