产地,产品类型,阶段,检验日期,生产日期,产品编号,规格型号,材质分类,产品分类,产品批号,原材料,原材料批号,模具编号,总数量,合格数,一次硫化合格率,"不合格
数量",一次硫化缺胶,"一次硫化开
裂",一次硫化杂质,型腔坏,一硫尺寸不合格,"一次硫化合模线
撕裂","一次硫
化粘模",一次硫化污染,"一次硫化
凹陷",一次硫化合模线粗,一次硫化流痕,一次硫化气泡,一次硫熔接不良,"一次硫化
其他",操作员,二次硫化检查总数pcs,"总不
合格数pcs","总合
格率%",最终良品数pcs,污染,"杂质
","表面
凹陷","合模线
凹陷",合模线撕裂,"粘胶
",粘皮,缺胶,断裂,毛刺,开裂 ,气泡,压痕,尺寸不合格,粘模,划伤,表面发亮异点,修边不良,油污,焦烧,堵孔,水印印迹,变形,合模线开裂,合模线分开,拉丝,裁断不良,"胶
不
熟",加工痕迹,生锈,流痕,熔接不良,色差,打磨过度,混料,激光不良,其他,检验员,工时数H,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/11,2024/4/24,0101020256,FKM黑色75邵A D-0750-370,FKM黑色,定制异形件,2024042815,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,301,41,86.38%,260,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,0,时光元,0.33,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/11,2024/5/10,0101020696,FKM黑色70邵A 密封条,FKM黑色,定制异形件,2024053057,HPE5011WR,"B2023102801
B2023102805",0601020357,74,70,94.59%,4,0,0,0,,,0,0,,0,,,4,,0,付文果,70,2,97.14%,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,方园园,,表面凹陷放行段宇（梁承刚代）,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/4/16,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,24020549-A,,A2024031336,,2479,,0.00%,0,,,,,,,,,,,,,,,,1395,775,44.44%,620,0,0,457,0,0,35,9,0,0,24,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,刘利利,4,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/4/6,0102010072,FVMQ红棕色57邵A 平膜片 22.6*2.2*0.7,FVMQ红棕色,膜片,23121977,AFS-XG6006C,24-SO-88,0603010156,9360,9344,99.83%,16,0,0,0,,,0,0,,0,,,0,,16,于鑫鑫,5624,194,96.55%,5430,0,146,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹文文,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2023/10/9,0101020261,FKM黑色75邵A C6-0625-011,FKM黑色,定制异形件,23090009,,2MW2307210043,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1330,600,54.89%,730,0,0,0,0,0,0,242,0,0,285,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/4/24,0101020256,FKM黑色75邵A D-0750-370,FKM黑色,定制异形件,2024042815,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,468,98,79.06%,370,0,50,23,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,随云,1.5,,,,,,,,,,,,,,,,
外购,/,/,2024/5/12,/,0304040118,铝合金 侧压门阀毛坯,/,金属件,/,/,/,/,6,,0.00%,0,,,,,,,,,,,,,,,,6,0,100.00%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/12,/,0304040145,6061-T6铝  门阀板,/,金属件,/,/,/,/,6,,0.00%,0,,,,,,,,,,,,,,,,6,6,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/2/27,0102010070,FVMQ橘红色60邵A φ14.5*φ2.5*0.62,FVMQ橘红色,膜片,24012151,SF6041-XG,Q02513,0603010148-E,,,#DIV/0!,0,,,,,,,,,,,,,,,,722,12,98.34%,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,苏莹丹,0.67,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/3/27,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,YP24032650-1,,2400501544,0601020169,623,,0.00%,0,,,,,,,,,,,,,,,,206,106,48.54%,100,0,0,91,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,苏莹丹,1.17,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/3/27,0102010043,FVMQ橘红色60邵A 异形阀片,FVMQ橘红色,膜片,24012151,SF6041-XG,Q02789,0603010150-H,29106,29106,100.00%,0,0,0,0,,,0,0,,0,,,0,,0,陶四芹,3696,696,81.17%,3000,0,580,0,0,0,2,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,刘利利,4,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2023/12/10,0101020171,HNBR绿色60邵A 膜片,HNBR绿色,定制异形件,23111753,HR6031-XG,A10413,0601020084,8944,8865,99.12%,79,0,0,0,,,0,0,,0,,,0,,79,闫大宽,5040,1040,79.37%,4000,0,125,16,0,0,0,321,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹长侠,8,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/5/5,0102010072,FVMQ红棕色57邵A 平膜片 22.6*2.2*0.7,FVMQ红棕色,膜片,23121977,AFS-XG6006C,24-SO-110,0603010156-C,9344,,0.00%,0,,,,,,,,,,,,,,,,6475,475,92.66%,6000,0,422,44,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,随云,6.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/2/29,0102010070,FVMQ橘红色60邵A φ14.5*φ2.5*0.62,FVMQ橘红色,膜片,24012151,SF6041-XG,Q02513,0603010148-E,25272,25272,100.00%,0,0,0,0,,,0,0,,0,,,0,,0,杨峭,4087,307,92.49%,3780,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,方园园,,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2023/11/14,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,YP23110032,0301010056,2MW2310260001,0601020313,554,,0.00%,0,,,,,,,,,,,,,,,,544,94,82.72%,450,21,0,0,0,0,0,0,11,0,0,9,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/3/19,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,23120123-B,,A20240305100,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1010,160,84.16%,850,0,3,100,0,0,0,8,0,0,47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,1.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/2/29,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,2023110032,,,,608,,0.00%,0,,,,,,,,,,,,,,,,107,7,93.46%,100,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,1.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024-2-27-1,0102010070,FVMQ橘红色60邵A φ14.5*φ2.5*0.62,FVMQ橘红色,膜片,24012125,SF6041-XG,Q02513,0603010148-E,25272,25272,100.00%,0,0,0,0,,,0,0,,0,,,0,,0,隗远圆,2371,371,84.35%,2000,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,3,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/3/24,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,2402050049-B,,A2024030390,,1484,,0.00%,0,,,,,,,,,,,,,,,,1479,809,45.30%,670,0,0,382,0,0,0,28,65,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,3,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/3/21,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,638,,0.00%,0,,,,,,,,,,,,,,,,132,32,75.76%,100,5,12,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,2.17,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2023/11/16,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,2310260001,,YP2311032,0601020313,556,,0.00%,0,,,,,,,,,,,,,,,,600,158,73.67%,442,7,5,101,40,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,杨连芳,4.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/2/29,0102010070,FVMQ橘红色60邵A φ14.5*φ2.5*0.62,FVMQ橘红色,膜片,2310260001,SF6041-XG,Q02513,0603010148-E,25272,25275,100.01%,0,0,0,0,,,0,0,,0,,,0,,0,杨峭,4059,59,98.55%,4000,0,47,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,杨连芳,3.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2023/11/17,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,YP23110032,,2MW2310260001,0601020313,580,,0.00%,0,,,,,,,,,,,,,,,,725,442,39.03%,283,87,0,0,41,0,0,0,12,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈燕,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2023/11/18,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,YP23110032,,2MW2310260001,0601020313,591,,0.00%,0,,,,,,,,,,,,,,,,318,118,62.89%,200,66,0,0,41,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈燕,3,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/3/18,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,610,,0.00%,0,,,,,,,,,,,,,,,,258,58,77.52%,200,0,14,23,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹文文,3,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/5/7,0102010071,FVMQ米黄色60邵A 平膜片 18.6*2.2*0.7,FVMQ米黄色,膜片,23121905,AFS-XG6005,23-SO-808,0603010106,,,#DIV/0!,0,,,,,,,,,,,,,,,,5868,408,93.05%,5460,0,403,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,3.67,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/4/16,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,24020549-A,,A2024031334,,1066,,0.00%,0,,,,,,,,,,,,,,,,1059,619,41.55%,440,0,0,206,0,0,0,15,0,0,214,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,4.33,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/12,2024/10/8,0101020261,FKM黑色75邵A C6-0625-011,FKM黑色,定制异形件,23090009,,2MW2307210043,,7190,,0.00%,0,,,,,,,,,,,,,,,,1339,239,82.15%,1100,0,0,0,73,0,0,152,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,4.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/12,2024/5/7,0102010071,FVMQ米黄色60邵A 平膜片 18.6*2.2*0.7,FVMQ米黄色,膜片,23121905,AFS-XG6005,23-SO-808,0603010106,,,#DIV/0!,0,,,,,,,,,,,,,,,,6513,173,97.34%,6340,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,3.5,,,,,,,,,,,,,,,,
外购,/,/,2024/5/12,/,0304040082,阀-铜件 φ31.62X20.65,/,金属件,/,/,/,/,3000,,0.00%,0,,,,,,,,,,,,,,,,3000,2,99.93%,2998,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,苏莹丹,3.67,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/18,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,345,38,88.99%,307,0,15,10,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹文文,3,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/13,2024/5/11,1202040002,FKM黑色75邵A 1077.00*5.34,FKM黑色,定制O型圈,2024053061,HPE6051WR,2M02402060007,0601010666,12,8,66.67%,4,0,0,1,,,0,0,,0,,,2,,1,马燕朋,8,4,50.00%,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,方园园,,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/13,2024/5/11,0101011600,FKM黑色70邵A 1778*6.99,FKM黑色,O型圈,2024053061,HPE6051WR,2M02740130061,0601010631,11,8,72.73%,3,0,0,1,,,0,0,,0,,,0,,2,马燕朋,8,4,50.00%,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1,周志杰,4.5,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/13,2024/5/3,0101011367,FVMQ蓝色70邵A 2-392 582.68*5.33,FVMQ蓝色,O型圈（研磨）,2024042987,SF7067,23-SO-778,0601050350,6,6,100.00%,0,0,0,0,,,0,0,,0,,,0,,0,杨峭,6,5,16.67%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,0,翁文齐,0.33,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2024/4/27,0102010043,FVMQ橘红色60邵A 异形阀片,FVMQ橘红色,膜片,24012151,SF6041-XG,Q02789,0603010150-H,,,#DIV/0!,0,,,,,,,,,,,,,,,,11862,1862,84.30%,10000,0,1533,0,0,0,6,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,刘利利,11,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/2/29,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,2023110032,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,500,20,96.00%,480,8,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,3.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/2,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,2023110032,,,,486,,0.00%,0,,,,,,,,,,,,,,,,486,30,93.83%,456,10,0,0,0,0,0,0,7,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,4.92,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/20,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,604,,0.00%,0,,,,,,,,,,,,,,,,118,18,84.75%,100,4,0,0,0,0,0,0,0,6,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,1,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2023/10/8,0101020261,FKM黑色75邵A C6-0625-011,FKM黑色,定制异形件,2023090009,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,2703,393,85.46%,2310,0,0,0,0,202,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,8,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/16,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,610,,0.00%,0,,,,,,,,,,,,,,,,204,54,73.53%,150,0,7,20,0,20,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,3,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2024/5/5,0102010072,FVMQ红棕色57邵A 平膜片 22.6*2.2*0.7,FVMQ红棕色,膜片,23121977,AFS-XG6006C,24-SO-110,0603010156-C,,,#DIV/0!,0,,,,,,,,,,,,,,,,2956,416,85.93%,2540,0,356,36,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,随云,2.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/13,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,597,,0.00%,0,,,,,,,,,,,,,,,,594,106,82.15%,488,30,0,50,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,随云,5.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2024/4/15,0102010072,FVMQ红棕色57邵A 平膜片 22.6*2.2*0.7,FVMQ红棕色,膜片,23121977,6006C-XG,24-SO-66,0603010156-C,10944,10896,99.56%,48,0,0,0,,,0,0,,0,,,0,,48,王杰,3363,363,89.21%,3000,0,253,9,0,0,17,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,随云,3,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2024/5/8,0103020084,铜 + 低温FKM黑色75邵A BODY-VALVE,FKM黑色,橡胶金属结合件,2024053032,KC7501118AVPL,2M02311210150,0601040032,890,874,98.20%,16,0,0,0,,,0,0,,0,,,0,,16,姚书川,442,22,95.02%,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹文文,8,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2023/12/10,0101020171,HNBR绿色60邵A 膜片,HNBR绿色,定制异形件,23111753,HR6031-XG,A10413,0601020084,,,#DIV/0!,0,,,,,,,,,,,,,,,,2515,665,73.56%,1850,0,137,0,0,0,0,87,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹长侠,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/4/21,0101020268,EPDM紫色40邵A 环形密封圈 59.2*34.2*8.8,EPDM紫色,定制异形件,2024042812-2,,,,2935,,0.00%,0,,,,,,,,,,,,,,,,1555,155,90.03%,1400,31,48,0,0,0,0,30,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹长侠,6,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/18,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,,,,,,,,,,,,,,,,,,,,268,68,74.63%,200,36,4,0,22,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈燕,,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/4/17,0101020268,EPDM紫色40邵A 环形密封圈 59.2*34.2*8.8,EPDM紫色,定制异形件,2024042812-2,,,,2950,,0.00%,0,,,,,,,,,,,,,,,,1226,426,65.25%,800,30,0,0,108,0,0,0,2,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈燕,5.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/24,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,240205-0049,,,,1019,,0.00%,0,,,,,,,,,,,,,,,,1042,392,62.38%,650,0,0,170,0,0,0,15,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/4/16,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,240205-0049,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,1348,1028,23.74%,320,0,0,0,0,776,0,27,0,0,65,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,2.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2024-3-12-1,0102010079,FVMQ橘红色60邵A 单向阀阀片 φ14.5*φ2.6*0.6,FVMQ橘红色,膜片,24012133,SF6041-XG,Q02528,0603010151,24300,24300,100.00%,0,0,0,0,,,0,0,,0,,,0,,0,杨峭,2745,745,72.86%,2000,0,657,0,0,0,7,0,0,0,0,0,0,0,0,0,16,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,3.5,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2024-2-27-1,0102010070,FVMQ橘红色60邵A φ14.5*φ2.5*0.62,FVMQ橘红色,膜片,24012125,SF6041-XG,Q02513,0603010148-E,,,#DIV/0!,0,,,,,,,,,,,,,,,,10014,2014,79.89%,8000,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,11,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/13,2024/2/29,0102010070,FVMQ橘红色60邵A φ14.5*φ2.5*0.62,FVMQ橘红色,膜片,24012151,SF6041-XG,Q02513,0603010148-E,,,#DIV/0!,0,,,,,,,,,,,,,,,,5292,462,91.27%,4830,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,杨连芳,4,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/22,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,584,,0.00%,0,,,,,,,,,,,,,,,,577,77,86.66%,500,37,0,24,1,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,杨连芳,4.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/4/16,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032598-1,,,,2740,,0.00%,0,,,,,,,,,,,,,,,,591,91,84.60%,500,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,杨连芳,2.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/21,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,499,60,87.98%,439,13,12,10,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,3.33,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/10,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,240131-0005,,,,211,,0.00%,0,,,,,,,,,,,,,,,,205,14,93.17%,191,3,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,1.92,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2024/3/10,0101020527,FKM红色60邵A 234.1*94.8*6.5,FKM红色,定制异形件,2023110032,,,,346,,0.00%,0,,,,,,,,,,,,,,,,333,52,84.38%,281,4,6,15,0,0,0,0,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,3.42,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/13,2023/12/25,0101020245,FKM黑色75邵A φ28.98*7.92 D-0750-469,FKM黑色,定制异形件,2023120058,,,,2700,,0.00%,0,,,,,,,,,,,,,,,,635,195,69.29%,440,0,0,18,0,0,0,112,47,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,姚月平,1.5,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/13,2024/5/12,1206012387,FKM黑色70邵A 2-387 456.06*5.33,FKM黑色,美标O型圈,2024053102,HPE5011WR,B2023102805,0601050551,5,5,100.00%,0,0,0,0,,,0,0,,0,,,0,,0,马燕朋,5,1,80.00%,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,方园园,1,,,,,,,,,,,,,,,,
上海,半导体,样品,2024/5/13,2024/5/9,1301080001,FVMQ蓝色70邵A 704.85*3.53,FVMQ蓝色,定制O型圈（研磨）,2024042832,SF7663,2M02404240067,0601010721,4,4,100.00%,0,0,0,0,,,0,0,,0,,,0,,0,马燕朋,4,2,50.00%,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,周志杰,1.84,,,,,,,,,,,,,,,,
